Geneid,N2,N2,R1,R2
PUS1,82,61,236,203
EP400,545,353,1907,1848
SNORA49,0,0,462,474
EP400P1,26,27,8,0
DDX51,162,138,39,56
NOC4L,34,38,92,62
GALNT9,0,2,0,0
LOC100130238,1,0,0,0
LOC101928416,0,0,0,0
MUC8,0,0,0,0
FBRSL1,139,155,314,243
NA,19,11,9,10
MIR6763,0,0,0,0
LRCOL1,0,4,0,0
P2RX2,4,0,12,10
POLE,252,212,753,718
PXMP2,45,47,12,4
PGAM5,272,139,55,67
ANKLE2,686,426,1160,1064
GOLGA3,862,698,697,706
CHFR,289,221,406,448
LOC101928530,1,0,0,0
ZNF605,241,138,101,106
ZNF26,87,73,443,434
ZNF84-DT,0,0,0,0
ZNF84,309,228,887,831
ZNF140,231,146,307,245
ZNF891,23,11,72,88
ZNF10,97,125,195,166
ZNF268,301,211,293,274
ANHX,0,0,0,0
FAM230C,0,0,0,0
LINC00417,0,0,0,0
ANKRD20A9P,0,0,1,0
RNU6-55P,0,0,0,0
RNU6-76P,0,0,0,0
LINC00408,0,0,0,0
NA,0,0,0,0
NA,0,0,0,0
LINC00442,0,0,0,0
RNU6-52P,0,0,0,0
TUBA3C,0,0,0,0
LOC101928697,0,0,0,0
ANKRD26P3,0,4,0,0
LINC00421,0,0,0,0
TPTE2,0,3,35,17
MPHOSPH8,953,764,1011,1014
PSPC1,448,286,979,984
ZMYM5,259,206,541,599
ZMYM2,1473,645,6797,6672
LINC01072,0,0,0,0
GJA3,2,2,0,0
GJB2,201,248,175,174
GJB6,296,26,211,291
CRYL1,189,219,55,58
MIR4499,0,0,0,0
IFT88,127,93,416,406
IL17D,15,32,0,0
EEF1AKMT1,45,40,25,36
XPO4,506,307,833,864
LINC00367,0,0,0,0
LATS2,368,835,122,110
SAP18,783,698,539,558
SKA3,35,11,44,55
MRPL57,113,83,159,204
LINC01046,0,0,0,0
LOC101928764,0,0,1,0
MIPEPP3,7,3,2,0
LINC00539,6,11,0,0
ZDHHC20,2168,849,1559,1477
MICU2,457,247,468,390
RNU6-59P,0,0,0,0
FGF9,22,69,14,5
LINC00424,0,0,0,0
LINC00540,2,0,0,0
BASP1P1,0,0,0,0
SGCG,9,48,0,0
RNU6-58P,0,0,0,0
SACS,359,258,715,721
SACS-AS1,0,0,0,0
LINC00327,0,11,0,0
TNFRSF19,56,90,20,20
MIPEP,174,145,242,201
PCOTH,0,4,0,0
C1QTNF9B,2,1,0,0
ANKRD20A19P,0,0,0,0
SPATA13,604,368,342,322
MIR2276,0,0,0,0
SPATA13-AS1,0,0,0,0
C1QTNF9,2,5,2,4
PARP4,1942,850,5074,4972
LOC105370295,0,0,0,0
LOC101927375,0,0,0,0
TPTE2P6,5,3,16,5
ATP12A,4,0,0,2
RNF17,25,10,2,7
CENPJ,142,101,755,711
TPTE2P1,6,0,14,8
PABPC3,40,9,178,199
AMER2,0,0,0,0
LINC00463,0,0,0,0
LINC01053,0,0,0,0
MTMR6,676,517,339,407
NUP58,576,290,519,551
ATP8A2,37,7,12,22
RNU6-78P,0,0,0,0
SHISA2,6,6,0,0
RNF6,621,330,709,792
CDK8,209,175,540,507
WASF3,123,156,149,166
GPR12,0,0,0,0
USP12,601,608,363,402
USP12-AS1,0,0,0,0
USP12-AS2,0,0,0,0
LINC00412,1,0,0,0
RPL21,1801,1248,3733,3717
SNORD102,4,13,20,27
SNORA27,1,4,437,432
RASL11A,126,82,16,34
GTF3A,516,515,414,467
MTIF3,314,256,669,603
RNU6-63P,0,0,0,0
LNX2,357,197,302,254
POLR1D,664,484,1144,1020
GSX1,0,0,0,0
PLUT,0,0,0,0
PDX1,0,0,2,6
ATP5F1EP2,1,0,3,6
CDX2,4,0,6,8
URAD,0,0,0,0
FLT3,74,40,16,23
PAN3,569,384,1642,1656
PAN3-AS1,0,1,0,0
RNU6-82P,0,0,0,0
FLT1,532,515,1140,1103
POMP,620,359,1232,1231
SLC46A3,308,287,110,125
RNU6-53P,0,0,0,0
MTUS2,124,14,36,38
MTUS2-AS1,2,0,0,0
SLC7A1,581,343,264,211
UBL3,1014,634,387,367
LINC00297,0,0,0,0
LINC00572,0,0,0,0
LINC00544,1,0,0,0
KATNAL1,127,297,55,56
RNU6-64P,0,0,0,0
LINC00426,21,10,0,0
LINC01058,0,0,0,0
HMGB1,3150,2424,1023,996
USPL1,358,265,784,715
TRN-GTT2-4,0,0,0,0
ALOX5AP,379,103,50,52
LINC00398,0,0,0,0
LINC00545,0,1,0,0
TEX26-AS1,0,0,0,0
MEDAG,102,586,0,2
TEX26,1,0,0,0
HSPH1,1278,735,2291,2212
B3GLCT,100,90,228,210
RXFP2,0,1,0,0
EEF1DP3,5,1,3,5
FRY-AS1,1,0,2,3
FRY,1206,605,6152,5926
ZAR1L,0,0,10,0
BRCA2,99,53,796,730
N4BP2L1,154,155,146,147
N4BP2L2,848,722,3224,3210
MICOS10P1,0,0,6,6
N4BP2L2-IT2,5,4,2,5
PDS5B,485,389,1509,1397
LINC00423,0,0,0,0
NA,2,0,0,0
KL,32,88,24,18
STARD13,261,400,117,99
STARD13-AS,0,1,0,0
RFC3,141,77,169,156
LINC00457,0,0,0,0
NBEA,171,204,1110,1123
MAB21L1,7,13,14,14
DCLK1,118,425,4,2
CCDC169-SOHLH2,0,0,0,0
SOHLH2,0,0,0,0
CCDC169,3,0,7,5
RNU6-71P,0,0,0,0
SPART,764,809,796,808
SPART-AS1,3,1,2,0
CCNA1,2,6,0,0
SERTM1,2,26,0,0
SMAD9,120,231,106,106
RFXAP,62,69,102,116
ALG5,282,202,501,420
EXOSC8,164,98,407,327
SUPT20H,659,490,1380,1267
CSNK1A1L,0,0,0,0
LINC01048,0,0,0,0
LINC00547,0,0,0,0
POSTN,4360,1690,43,27
TRPC4,19,83,14,37
LINC00571,3,0,0,0
UFM1,980,727,153,150
LINC00437,0,0,0,0
LINC00366,0,0,0,0
FREM2,11,4,128,132
RNU6-56P,0,0,0,0
STOML3,2,0,0,0
PROSER1,513,294,1444,1322
NHLRC3,363,220,801,727
LHFPL6,448,808,33,11
NA,0,1,0,0
COG6,463,338,1647,1587
MIR4305,0,0,0,0
NA,0,0,0,0
LINC00332,0,0,0,0
LINC00548,0,0,0,0
LINC00598,0,0,1,0
FOXO1,494,482,229,253
MIR320D1,0,0,4,3
MRPS31,232,161,282,269
SLC25A15,83,39,141,182
TPTE2P5,15,10,37,41
MIR621,0,0,0,0
SUGT1P3,3,0,26,30
ELF1,1905,1082,1655,1644
TRE-TTC1-2,0,0,0,0
WBP4,170,187,413,392
MIR3168,0,0,0,0
KBTBD6,145,92,79,57
LOC101929140,1,0,0,0
KBTBD7,139,68,153,138
MTRF1,133,110,278,287
NAA16,220,192,417,377
RNU6-57P,0,0,0,0
OR7E37P,0,0,0,2
RGCC,106,125,43,77
VWA8,547,233,2519,2375
MIR5006,0,0,0,0
VWA8-AS1,0,0,0,0
DGKH,708,192,2724,2595
AKAP11,1249,551,2116,2123
TNFSF11,27,14,90,111
FAM216B,4,6,0,0
LINC01050,1,5,2,0
LINC00428,0,0,0,0
EPSTI1,329,233,685,716
DNAJC15,329,249,380,397
LINC00400,2,3,0,0
ENOX1,23,123,5,6
ENOX1-AS2,0,0,0,0
CCDC122,41,32,148,161
LACC1,414,270,118,154
NRAD1,1,0,0,0
SMIM2-AS1,3,0,0,0
SMIM2,0,0,0,0
SMIM2-IT1,0,0,0,0
MIR8079,0,0,0,0
LOC105370297,0,0,0,0
SERP2,3,11,4,4
TUSC8,0,0,0,0
TSC22D1,1452,2250,870,917
TSC22D1-AS1,8,0,0,0
LINC00330,0,0,0,0
TRE-TTC2-1,0,0,0,0
NUFIP1,103,78,165,150
GPALPP1,194,149,334,346
LOC101929259,0,0,0,0
GTF2F2,251,157,89,117
RNU6-69P,0,0,0,0
KCTD4,0,0,40,44
TPT1,28262,24260,20471,19441
SNORA31,2,2,1,5
TPT1-AS1,56,62,25,13
SLC25A30,223,234,84,95
SLC25A30-AS1,0,0,0,0
COG3,562,323,694,707
ERICH6B,0,0,0,0
LINC01055,0,0,0,0
CBY2,10,0,30,23
SIAH3,2,0,2,2
ZC3H13,972,600,2664,2427
CPB2-AS1,0,0,0,0
CPB2,0,0,14,7
LCP1,4875,2399,1193,1230
LRRC63,1,1,0,1
LINC00563,2,0,0,0
RUBCNL,144,82,36,42
RNU6-68P,0,0,0,0
LINC01198,0,2,0,0
LRCH1,416,572,444,357
ESD,704,753,494,386
HTR2A,26,60,0,0
HTR2A-AS1,0,0,0,0
LINC00562,2,2,2,0
SUCLA2,388,320,671,786
SUCLA2-AS1,4,0,0,0
NUDT15,229,126,101,83
MED4,310,193,593,598
MED4-AS1,0,0,2,1
ITM2B,9254,7413,8904,8900
RB1-DT,0,4,0,1
RB1,1066,677,1613,1574
LPAR6,838,547,724,686
RCBTB2,301,289,160,167
LINC00462,0,0,0,0
CYSLTR2,50,5,24,10
FNDC3A,1544,990,2743,2616
MLNR,0,0,0,0
CDADC1,108,84,93,87
CAB39L,674,390,510,491
SETDB2,275,284,375,339
PHF11,386,201,564,532
RCBTB1,479,361,137,155
ARL11,76,29,2,3
EBPL,163,74,128,94
KPNA3,605,622,442,401
CTAGE10P,0,1,0,0
SPRYD7,95,125,66,82
DLEU2,10,2,27,13
MIR3613,0,0,0,0
TRIM13,309,144,391,422
KCNRG,5,1,145,134
MIR16-1,0,0,0,0
MIR15A,0,0,0,0
DLEU1,39,37,176,161
ST13P4,17,14,22,8
DLEU1-AS1,0,2,0,0
DLEU7,2,4,32,35
DLEU7-AS1,2,4,0,0
RNASEH2B-AS1,1,0,0,0
RNASEH2B,277,212,1046,989
GUCY1B2,9,2,51,47
C13orf42,0,0,0,0
FAM124A,43,84,0,2
SERPINE3,3,0,41,33
MIR5693,0,0,0,0
INTS6,390,350,879,910
INTS6-AS1,12,9,1,1
MIR4703,0,0,0,0
WDFY2,235,197,157,148
DHRS12,75,58,114,96
TMEM272,1,1,7,2
CCDC70,0,0,0,0
ATP7B,78,42,491,390
ALG11,86,34,288,346
UTP14C,365,183,525,527
NEK5,8,1,22,40
LOC101929657,0,0,0,0
NEK3,87,111,199,212
MRPS31P5,45,51,22,26
LINC02333,0,0,0,0
THSD1,45,134,52,34
VPS36,872,629,1294,1149
CKAP2,499,198,797,774
TPTE2P3,0,0,7,1
HNRNPA1L2,181,112,392,342
SUGT1,289,191,504,416
CNMD,0,0,2,7
MIR759,0,0,0,0
PCDH8,2,2,2,0
OLFM4,4711,4348,57,40
LINC01065,0,0,0,0
LINC00558,0,0,0,0
LINC00458,0,0,0,0
MIR1297,0,0,0,0
MIR5007,0,0,0,0
PRR20A,0,0,0,0
PRR20B,0,0,0,0
PRR20C,0,0,0,0
PRR20D,0,0,0,0
PRR20E,0,0,0,0
PCDH17,190,224,84,55
LINC02338,0,0,0,0
DIAPH3,37,33,223,200
DIAPH3-AS1,0,0,1,2
DIAPH3-AS2,0,0,0,0
LINC00434,0,0,0,0
TDRD3,204,176,640,574
LINC00378,0,0,0,0
MIR3169,0,0,0,0
PCDH20,6,19,0,6
LINC02339,0,0,0,0
LINC00358,0,0,0,0
LINC01075,0,0,0,0
LINC00448,0,0,0,0
LINC00376,0,0,0,0
LINC00395,0,0,0,0
OR7E156P,0,0,0,0
RNU6-81P,0,0,0,0
LOC102723968,0,0,0,0
NA,0,0,6,2
MIR548X2,0,0,0,0
MIR4704,0,0,0,0
PCDH9,14,27,6,6
PCDH9-AS2,0,0,0,0
PCDH9-AS3,0,0,0,0
PCDH9-AS4,0,0,0,0
LINC00364,0,0,0,0
LINC00550,0,0,0,0
LINC00383,0,0,0,0
KLHL1,0,0,0,0
ATXN8OS,0,0,0,0
LINC00348,0,0,0,0
DACH1,94,107,38,52
MZT1,278,121,48,45
BORA,92,35,294,312
DIS3,700,415,1295,1317
PIBF1,252,210,850,863
RNU6-79P,0,0,0,0
KLF5,2856,889,9538,9383
RNU6-66P,0,0,0,0
LINC00392,0,0,0,0
KLF12,439,254,249,194
LINC00381,0,0,0,0
LINC00347,0,0,0,0
CTAGE11P,0,0,30,13
TBC1D4,679,431,1363,1332
COMMD6,337,304,100,89
UCHL3,158,101,299,267
LMO7-AS1,1,0,0,0
LMO7,812,323,2411,2212
LMO7DN,0,3,0,5
LMO7DN-IT1,0,0,0,0
KCTD12,2206,2266,11,16
BTF3P11,0,0,3,0
ACOD1,6,2,0,0
CLN5,369,264,186,167
FBXL3,1006,576,439,421
MYCBP2,1639,685,6055,6061
MYCBP2-AS1,0,0,0,0
SCEL,8,9,72,67
SCEL-AS1,0,0,0,0
LOC100129307,0,0,0,0
SLAIN1,84,48,119,125
MIR3665,0,0,0,0
EDNRB-AS1,3,0,0,0
EDNRB,712,699,127,112
LINC01069,0,0,0,0
LINC00446,0,0,0,0
OBI1-AS1,0,1,0,0
POU4F1,1,0,0,4
OBI1,103,67,120,132
LINC00331,0,0,0,0
RBM26,774,522,2181,2140
RBM26-AS1,10,10,1,0
NDFIP2-AS1,0,0,0,0
NDFIP2,1166,326,713,663
LINC01068,1,0,0,1
LINC01038,0,0,0,0
LINC00382,0,0,0,0
LINC01080,0,0,0,0
NA,0,0,0,0
SPRY2,162,307,204,215
LINC00377,0,0,0,0
LINC00564,0,0,0,0
RNU6-67P,0,0,0,0
SLITRK1,0,2,0,0
NA,0,0,0,0
LINC00333,1,0,0,0
LINC00375,0,0,0,0
LINC00351,7,0,0,0
RNU6-72P,0,0,0,0
SLITRK6,1202,165,1971,2030
MIR4500HG,0,0,0,0
MIR4500,0,0,0,0
SLITRK5,3,5,30,21
LINC00397,0,0,0,0
LINC00433,0,0,0,0
LINC00440,0,0,0,0
LINC00353,0,0,0,0
LINC00559,0,0,0,0
MIR622,0,0,2,0
LINC01049,2,0,0,0
RNU6-75P,0,0,0,0
LINC00410,0,0,0,0
LINC00380,0,0,0,0
LINC00379,0,0,0,0
MIR17HG,14,5,2,0
MIR17,0,0,0,0
MIR18A,0,0,0,0
MIR19A,0,0,0,0
MIR20A,0,0,0,0
MIR19B1,0,0,0,0
MIR92A1,0,0,0,0
GPC5,0,0,0,0
GPC5-AS2,0,0,0,0
MIR548AS,0,0,0,0
GPC5-AS1,0,0,0,0
LINC00363,0,0,0,0
GPC6,473,583,10,12
GPC6-AS2,0,0,0,0
GPC6-AS1,0,0,0,0
DCT,2,3,0,0
TRF-GAA1-5,0,0,0,0
TGDS,134,123,153,149
GPR180,188,161,181,151
LINC00391,0,0,0,0
SOX21,6,14,8,14
NA,2,1,0,0
SOX21-AS1,9,6,0,0
LOC101927284,0,0,0,0
LINC00557,0,0,0,0
ABCC4,1575,456,1351,1242
CLDN10,2,2,6,4
CLDN10-AS1,0,0,0,0
DZIP1,159,224,105,138
DNAJC3,1264,812,597,636
UGGT2,468,225,2632,2533
NA,5,0,0,0
HS6ST3,851,2,88,75
MIR4501,0,0,0,0
LINC00359,0,0,0,0
OXGR1,34,4,32,40
MBNL2,1233,1266,953,858
LINC00456,0,0,0,0
RAP2A,670,535,60,40
IPO5,1728,1332,1585,1583
FARP1,996,726,1764,1605
RNF113B,0,0,23,30
MIR3170,0,0,0,0
STK24,2445,1349,2179,2228
SLC15A1,109,39,648,519
DOCK9,1013,774,1714,1838
DOCK9-AS1,0,0,0,0
RNU6-83P,0,0,0,0
DOCK9-DT,0,0,0,0
UBAC2-AS1,15,2,0,0
UBAC2,652,436,542,545
GPR18,45,18,366,361
GPR183,410,531,327,322
FKSG29,1,1,42,52
MIR623,1,0,2,7
LINC01232,8,8,0,0
TM9SF2,3008,1853,4243,4022
LINC01039,0,0,0,0
CLYBL,73,38,102,93
MIR4306,0,0,0,0
CLYBL-AS2,0,0,0,0
CLYBL-AS1,0,0,0,0
LOC101927437,0,0,0,0
ZIC5,0,0,0,0
ZIC2,0,2,0,0
LINC00554,0,0,0,0
PCCA,301,188,2037,2143
PCCA-AS1,0,0,2,0
GGACT,35,24,4,0
TMTC4,290,237,221,251
NA,0,1,0,0
NALCN-AS1,7,5,1,0
LINC00411,0,0,0,0
NALCN,34,24,19,23
ITGBL1,185,347,33,43
FGF14,6,9,6,11
MIR2681,0,0,0,0
MIR4705,0,0,0,0
FGF14-IT1,0,0,0,0
FGF14-AS1,0,0,0,0
FGF14-AS2,14,10,0,0
TPP2,788,644,2102,2037
METTL21C,2,0,26,19
CCDC168,2,0,2,2
TEX30,47,49,20,21
POGLUT2,79,141,42,38
BIVM,117,93,6,3
BIVM-ERCC5,0,0,0,0
ERCC5,27,15,7,12
METTL21EP,3,0,0,0
SLC10A2,0,0,0,0
LINC01309,0,0,0,0
DAOA-AS1,0,0,0,0
DAOA,0,0,0,0
LINC00343,0,0,0,0
LINC00460,0,0,0,0
EFNB2,303,467,157,139
ARGLU1,736,544,1787,1769
LINC00551,0,0,0,0
LINC00443,0,0,0,0
FAM155A,37,33,8,10
MIR1267,0,0,0,0
FAM155A-IT1,0,0,0,0
LIG4,265,208,673,591
ABHD13,390,235,180,188
TNFSF13B,344,197,34,48
MYO16,2,6,20,36
MYO16-AS1,0,0,0,0
LINC00399,0,0,0,0
LINC00676,0,0,0,0
IRS2,124,159,183,196
LINC00396,0,0,0,0
COL4A1,4447,5988,2963,2756
COL4A2,3644,5962,946,961
MIR8073,0,0,0,0
COL4A2-AS1,1,0,0,0
RAB20,134,175,6,16
NAXD,435,373,172,171
CARS2,294,243,260,250
NA,3,3,2,0
ING1,150,137,36,21
LOC105370362,0,0,0,0
PRECSIT,30,32,31,34
ANKRD10,701,509,1318,1363
LINC00431,5,0,0,0
LINC00368,0,0,0,0
ARHGEF7,599,545,1107,1009
ARHGEF7-AS1,0,0,0,0
LOC101060553,0,0,0,0
TEX29,0,3,4,4
LINC02337,0,0,0,0
LINC00354,0,0,0,0
SOX1-OT,0,0,0,0
LOC105378193,0,0,0,0
SOX1,0,0,0,0
LINC01070,0,0,0,0
LOC101928730,0,0,0,0
LINC01044,0,0,0,0
SPACA7,0,0,0,0
TUBGCP3,163,257,281,278
ATP11AUN,0,0,0,0
ATP11A,358,389,642,647
NA,0,0,0,0
ATP11A-AS1,2,0,0,0
NA,0,0,2,1
MCF2L,338,333,369,352
MCF2L-AS1,28,1,0,2
F7,0,0,0,0
F10,46,167,2,2
F10-AS1,0,0,0,0
LOC102724474,0,0,0,0
PROZ,0,2,30,28
PCID2,278,286,252,256
CUL4A,976,561,1329,1116
MIR8075,0,0,0,0
LAMP1,2198,2156,774,840
GRTP1,38,34,123,96
GRTP1-AS1,0,0,0,0
LOC101928841,2,13,0,0
ADPRHL1,21,23,8,7
DCUN1D2,103,69,128,112
TMCO3,608,497,323,304
TFDP1,921,643,596,512
ATP4B,0,2,0,2
GRK1,0,0,0,0
LOC105377805,0,0,0,0
LINC00552,0,0,0,0
TMEM255B,52,98,13,18
GAS6-AS1,15,14,0,1
GAS6,514,1414,204,134
GAS6-DT,19,82,0,0
LINC00452,0,0,0,0
LINC00565,2,3,0,0
C13orf46,9,0,0,0
RASA3,443,442,223,229
NA,0,1,2,0
CFAP97D2,3,0,0,0
CDC16,626,519,888,812
MIR548AR,7,2,0,0
MIR4502,0,0,0,0
UPF3A,447,340,673,743
CHAMP1,327,192,405,361
LINC01054,0,0,0,0
OR11H12,0,0,12,2
LINC02297,0,0,0,0
POTEM,1,0,0,0
LOC100508046,0,0,0,0
NA,10,1,2,7
BMS1P18,0,0,0,0
DUXAP10,6,0,0,3
BMS1P17,0,0,1,0
POTEG,0,0,6,5
LOC101929572,0,0,0,0
OR11H2,0,0,8,9
OR4Q3,0,0,0,0
OR4M1,0,0,0,0
OR4N2,0,0,0,0
OR4K2,0,0,0,0
OR4K1,0,0,0,0
OR4K5,0,0,0,0
OR4K15,0,0,0,0
OR4K14,0,0,0,0
OR4K13,0,0,0,0
OR4L1,0,0,0,0
OR4K17,0,0,0,0
OR4N5,0,0,0,0
OR11G2,0,0,0,0
OR11H6,0,0,0,0
OR11H4,0,0,0,0
TTC5,119,78,102,93
CCNB1IP1,239,219,233,187
SNORD126,0,0,4,3
RPPH1,0,0,46,31
PARP2,135,174,473,420
TEP1,543,424,1016,1091
KLHL33,14,3,0,2
OSGEP,189,169,219,241
APEX1,1479,817,1653,1622
PIP4P1,212,217,124,101
PNP,334,327,257,246
RNASE10,0,6,0,0
RNASE9,0,0,0,0
RNASE11,0,0,0,0
LOC254028,0,0,0,0
RNASE12,0,0,0,0
TRP-AGG2-5,0,0,0,0
TRL-AAG2-3,0,0,0,0
TRP-AGG2-6,0,0,0,0
TRT-TGT3-1,0,0,0,0
TRL-TAG2-1,0,0,0,0
TRT-TGT4-1,0,0,0,0
TRP-TGG1-1,0,0,0,0
OR6S1,2,0,0,0
TRY-GTA5-3,0,0,0,0
TRY-GTA4-1,0,0,0,0
TRY-GTA7-1,1,0,0,0
TRY-GTA5-4,0,0,0,0
TRT-TGT5-1,0,0,0,0
TRY-GTA5-5,0,0,0,0
TRP-TGG3-2,1,0,0,0
ANG,21,27,21,16
RNASE4,251,488,28,34
EDDM3A,0,0,0,0
EDDM3B,0,0,0,0
RNASE6,247,231,18,13
RNASE1,1238,1613,125,111
RNASE3,4,2,2,8
ECRP,3,0,0,2
RNASE2,21,27,4,6
METTL17,246,240,291,261
LOC101929718,9,8,3,4
SLC39A2,6,12,0,0
NDRG2,1224,703,698,656
MIR6717,1,1,1,1
TPPP2,1,0,2,0
RNASE13,0,0,0,0
RNASE7,5,2,1,2
RNASE8,0,0,0,4
ARHGEF40,327,508,244,211
ZNF219,65,47,133,141
TMEM253,4,0,6,2
OR5AU1,0,0,0,0
LINC00641,80,91,14,5
HNRNPC,4412,2643,4559,4275
RPGRIP1,23,3,41,46
SUPT16H,1435,984,1155,1053
CHD8,1037,640,2846,2884
SNORD9,0,0,77,55
SNORD8,0,0,67,80
RAB2B,267,267,205,274
TOX4,804,553,513,471
METTL3,335,287,803,674
SALL2,145,89,55,45
OR10G3,0,0,0,0
TRAV1-1,3,5,2,0
OR10G2,0,0,0,0
TRAV1-2,2,4,7,11
OR4E2,0,0,0,0
TRAV2,7,1,2,0
TRAV3,10,3,0,0
TRAV4,6,4,0,0
TRAV5,4,0,2,3
TRAV6,3,0,2,0
TRAV7,0,0,0,0
TRAV8-1,2,3,0,0
TRAV9-1,0,0,0,0
TRAV10,2,3,4,0
TRAV12-1,7,2,6,5
TRAV8-2,7,3,4,1
TRAV8-3,6,6,2,0
TRAV13-1,8,7,2,6
TRAV12-2,8,6,6,4
TRAV8-4,4,2,1,2
TRAV13-2,8,4,2,1
TRAV14DV4,8,1,0,0
TRAV9-2,7,4,6,6
TRAV12-3,7,7,14,4
TRAV8-6,8,6,6,4
TRAV16,4,5,0,1
TRAV17,6,4,0,0
TRAV18,1,1,2,0
TRAV19,10,2,4,0
TRAV20,2,1,0,0
TRAV21,8,3,0,2
TRAV22,5,0,0,0
TRAV23DV6,3,6,0,0
TRDV1,2,1,4,0
TRAV24,6,1,0,1
TRAV25,4,1,2,0
TRAV26-1,4,2,4,0
TRAV8-7,0,0,0,0
TRAV27,2,0,0,0
TRAV29DV5,2,2,2,2
TRAV30,1,2,0,0
TRAV26-2,1,0,0,2
TRAV34,0,0,0,0
TRAV35,1,0,0,0
TRAV36DV7,1,0,2,0
TRAV38-1,6,4,2,1
TRAV38-2DV8,10,7,0,4
TRAV39,0,0,0,0
TRAV40,0,0,0,0
TRAV41,0,0,0,0
TRDV2,0,0,0,0
TRDD1,0,0,0,0
TRDD2,0,0,0,0
TRDD3,0,0,0,0
TRDJ1,0,0,1,1
TRDJ4,1,0,0,4
TRDJ2,0,0,0,0
TRDJ3,0,0,0,2
TRDC,44,29,36,39
TRDV3,1,5,1,2
TRAJ61,0,0,0,0
TRAJ59,0,0,0,0
TRAJ58,0,0,0,0
TRAJ57,0,0,2,0
TRAJ56,0,0,0,1
TRAJ54,0,0,0,0
TRAJ53,0,0,1,0
TRAJ52,0,0,0,0
TRAJ50,0,0,2,0
TRAJ49,0,0,4,2
TRAJ48,0,0,0,4
TRAJ47,0,0,2,0
TRAJ46,0,0,0,0
TRAJ45,0,0,0,0
TRAJ44,0,0,2,2
TRAJ43,0,0,1,0
TRAJ42,0,0,3,4
TRAJ41,0,0,2,0
TRAJ40,0,0,9,3
TRAJ39,1,2,1,4
TRAJ38,0,0,6,0
TRAJ37,0,0,5,7
TRAJ36,0,0,5,17
TRAJ35,0,0,1,4
TRAJ34,0,0,4,0
TRAJ33,0,0,7,8
TRAJ32,1,0,0,1
TRAJ31,1,0,4,10
TRAJ30,0,0,0,1
TRAJ29,0,0,1,1
TRAJ28,0,0,2,1
TRAJ27,2,0,10,3
TRAJ26,0,0,9,14
TRAJ25,0,0,6,4
TRAJ24,0,0,1,0
TRAJ23,0,0,8,7
TRAJ22,0,0,3,2
TRAJ21,0,0,4,2
TRAJ20,0,0,0,0
TRAJ19,0,0,2,4
TRAJ18,0,0,6,2
TRAJ17,1,0,3,1
TRAJ16,1,0,9,8
TRAJ15,1,0,2,0
TRAJ14,0,0,3,5
TRAJ13,0,0,14,1
TRAJ12,1,0,7,3
TRAJ11,0,0,5,6
TRAJ10,0,0,10,2
TRAJ9,0,1,3,3
TRAJ8,0,0,2,3
TRAJ7,0,0,2,0
TRAJ6,0,0,4,6
TRAJ5,0,0,0,0
TRAJ4,0,0,0,0
TRAJ3,0,1,7,3
TRAJ2,1,0,5,9
TRAJ1,0,0,2,2
TRAC,658,378,117,81
LOC105370399,0,2,0,0
DAD1,711,606,232,211
ABHD4,455,554,89,50
OXA1L,1028,907,797,740
SLC7A7,271,276,165,202
MRPL52,97,82,84,90
MMP14,3321,2794,519,451
LRP10,2039,1681,481,414
REM2,9,3,2,0
RBM23,648,562,472,383
PRMT5-AS1,2,0,0,0
PRMT5,329,239,367,384
PRMT5-DT,0,4,0,0
TRR-ACG1-3,0,0,0,0
HAUS4,259,264,101,81
MIR4707,0,0,0,0
AJUBA,284,98,98,99
C14orf93,100,67,51,49
PSMB5,511,325,199,225
PSMB11,0,0,0,0
CDH24,52,183,19,20
LOC105370705,1,0,0,0
ACIN1,1545,1176,3948,3900
C14orf119,395,326,140,130
CEBPE,12,0,0,0
SLC7A8,597,452,106,73
RNF212B,8,5,124,117
HOMEZ,313,111,217,187
PPP1R3E,87,101,8,12
NA,15,11,0,0
BCL2L2,552,569,104,117
BCL2L2-PABPN1,0,0,0,0
PABPN1,24,29,79,73
SLC22A17,69,102,38,49
EFS,140,303,37,51
IL25,0,0,0,0
CMTM5,4,7,0,0
MYH6,0,0,9,5
MIR208A,0,0,0,0
MYH7,6,0,5,10
MHRT,0,0,0,0
MIR208B,0,0,0,0
NGDN,217,167,172,195
THTPA,126,118,40,41
ZFHX2,20,16,117,101
AP1G2,616,327,836,814
AP1G2-AS1,43,47,9,5
JPH4,2,3,5,6
DHRS2,8283,666,3730,3584
DHRS4-AS1,218,122,29,21
DHRS4,81,67,194,179
DHRS4L2,62,71,68,63
DHRS4L1,4,8,21,11
CARMIL3,10,23,27,37
CPNE6,3,8,13,14
NRL,15,18,6,4
PCK2,301,151,183,164
DCAF11,1048,577,330,322
FITM1,7,3,2,5
PSME1,1644,831,1509,1550
EMC9,66,67,40,26
PSME2,915,400,777,840
MIR7703,0,0,0,1
RNF31,432,356,403,310
IRF9,863,462,434,475
REC8,90,73,187,168
IPO4,245,190,267,272
TM9SF1,627,404,149,162
TSSK4,9,7,282,263
CHMP4A,371,270,149,135
MDP1,3,8,3,0
NEDD8-MDP1,0,0,0,0
NEDD8,226,95,116,146
GMPR2,736,420,253,242
TINF2,517,526,1226,995
TGM1,19,12,42,38
RABGGTA,173,184,115,140
DHRS1,160,137,307,296
NOP9,308,255,243,231
CIDEB,4,0,0,5
LTB4R2,12,3,0,3
